x                        Q2                 y       z                  PhT^2              Mult        
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.09 [0.08-0.10)   6.2719 +- 0.3126 +- 0.1051
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.11 [0.10-0.12)   6.2175 +- 0.3135 +- 0.1047
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.13 [0.12-0.14)   5.0537 +- 0.2711 +- 0.1070
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.16 [0.14-0.17)   4.8854 +- 0.2244 +- 0.1067
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.18 [0.17-0.20)   4.1757 +- 0.2275 +- 0.1101
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.21 [0.20-0.23)   4.0316 +- 0.1921 +- 0.1103
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.25 [0.23-0.27)   3.2015 +- 0.1547 +- 0.1122
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.29 [0.27-0.30)   2.6976 +- 0.1663 +- 0.1183
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.32 [0.30-0.35)   2.2901 +- 0.1188 +- 0.1177
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.38 [0.35-0.40)   2.0620 +- 0.1158 +- 0.1213
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.43 [0.40-0.46)   1.5304 +- 0.0907 +- 0.1255
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.49 [0.46-0.52)   1.1934 +- 0.0750 +- 0.1304
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.56 [0.52-0.60)   0.8669 +- 0.0599 +- 0.1340
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.64 [0.60-0.68)   0.6784 +- 0.0496 +- 0.1398
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.72 [0.68-0.76)   0.5527 +- 0.0461 +- 0.1473
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.81 [0.76-0.87)   0.4254 +- 0.0353 +- 0.1529
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   0.94 [0.87-1.00)   0.2882 +- 0.0257 +- 0.1618
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   1.06 [1.00-1.12)   0.2032 +- 0.0223 +- 0.1753
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   1.18 [1.12-1.24)   0.1256 +- 0.0170 +- 0.1960
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   1.31 [1.24-1.38)   0.1029 +- 0.0140 +- 0.1988
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   1.45 [1.38-1.52)   0.0603 +- 0.0113 +- 0.2360
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   1.60 [1.52-1.68)   0.0665 +- 0.0109 +- 0.2252
0.1570 [0.1000-0.2100)   20.0 [16.0-81.0)   0.439   0.20 [0.20-0.30)   1.77 [1.68-1.85)   0.0368 +- 0.0064 +- 0.2385
