*reference: ARXIV:2017.07374 : 2017 \
*reference: CERN-EP-2017-253  \
*doi: \
*status: \
*experiment: CERN-NA-058 \
*detector: COMPASS \
*inspireId: \
*cdsId:  \
*durhamId: \
*title: Transverse-momentum-dependent Multiplicities of Charged Hadrons in Muon-Deuteron Deep Inelastic Scattering \
*comment:Multiplicities of charged unidentified hadrons produced in semi-inclusive deep-inelastic scattering were measured in bins of the Bjorken scaling variable $x$, the photon virtuality, the relative hadron energy $z$ and the hadron transverse momentum $P_\{hT\}$. Data were collected by the COMPASS Collaboration using a $160$ GeV muon beam and an isoscalar target ($^\{6\}$LiD). The following kinematic domain is covered by the data: photon virtuality $Q^\{2\}$ $>$ $1$ (GeV/$c$)$^\{2\}$, invariant mass of the hadronic system $W$ $>$ $5$ GeV/$c^\{2\}$, Bjorken scaling variable in the range $0.003 < x <0.4$, fraction of the virtual photon energy carried by the hadron in the range $0.2 < z < 0.8$, square of the hadron transverse momentum with respect to the virtual photon direction in the range $0.02$ (GeV/$c$)$^2$ $< P_\{hT\}^\{2\}$ $<$ $3$ (GeV/$c$)$^\{2\}$. \
*dataset: \
*reackey: $mu^\{+\}$ d --> $mu'^\{+\}$ $h^\{-\}$ X \
*obskey: MULT \
*qual: PLAB IN GEV : 160.0 \
*qual: RE : $mu^\{+\}$ d --> $mu'^\{+\}$ h$^\{-\}$ X \


#  i      mult       stat (+/-)    syst (+/-)        Q2            x             z            Php
   1  2.959186e+00  1.590671e-01  2.973837e-01  2.000000e+01  1.570000e-01  2.434000e-01  2.989983e-01
   2  2.948940e+00  1.761896e-01  3.065605e-01  2.000000e+01  1.570000e-01  2.434000e-01  3.310589e-01
   3  3.029935e+00  1.798506e-01  3.135857e-01  2.000000e+01  1.570000e-01  2.434000e-01  3.602777e-01
   4  2.896195e+00  1.517512e-01  2.991689e-01  2.000000e+01  1.570000e-01  2.434000e-01  3.939543e-01
   5  2.734510e+00  1.569115e-01  2.900848e-01  2.000000e+01  1.570000e-01  2.434000e-01  4.284857e-01
   6  2.729904e+00  1.484696e-01  2.942649e-01  2.000000e+01  1.570000e-01  2.434000e-01  4.610857e-01
   7  2.549273e+00  1.370974e-01  2.745939e-01  2.000000e+01  1.570000e-01  2.434000e-01  4.988988e-01
   8  2.581478e+00  1.654657e-01  2.937816e-01  2.000000e+01  1.570000e-01  2.434000e-01  5.337602e-01
   9  2.230611e+00  1.235752e-01  2.528398e-01  2.000000e+01  1.570000e-01  2.434000e-01  5.689464e-01
  10  1.915777e+00  1.220334e-01  2.248306e-01  2.000000e+01  1.570000e-01  2.434000e-01  6.126173e-01
  11  1.614880e+00  1.046293e-01  1.943304e-01  2.000000e+01  1.570000e-01  2.434000e-01  6.547519e-01
  12  1.518350e+00  1.063348e-01  1.935014e-01  2.000000e+01  1.570000e-01  2.434000e-01  6.995713e-01
  13  1.212709e+00  8.506570e-02  1.561030e-01  2.000000e+01  1.570000e-01  2.434000e-01  7.461903e-01
  14  8.722755e-01  7.054346e-02  1.185322e-01  2.000000e+01  1.570000e-01  2.434000e-01  7.998125e-01
