*reference: ARXIV:2017.07374 : 2017 \
*reference: CERN-EP-2017-253  \
*doi: \
*status: \
*experiment: CERN-NA-058 \
*detector: COMPASS \
*inspireId: \
*cdsId:  \
*durhamId: \
*title: Transverse-momentum-dependent Multiplicities of Charged Hadrons in Muon-Deuteron Deep Inelastic Scattering \
*comment:Multiplicities of charged unidentified hadrons produced in semi-inclusive deep-inelastic scattering were measured in bins of the Bjorken scaling variable $x$, the photon virtuality, the relative hadron energy $z$ and the hadron transverse momentum $P_\{hT\}$. Data were collected by the COMPASS Collaboration using a $160$ GeV muon beam and an isoscalar target ($^\{6\}$LiD). The following kinematic domain is covered by the data: photon virtuality $Q^\{2\}$ $>$ $1$ (GeV/$c$)$^\{2\}$, invariant mass of the hadronic system $W$ $>$ $5$ GeV/$c^\{2\}$, Bjorken scaling variable in the range $0.003 < x <0.4$, fraction of the virtual photon energy carried by the hadron in the range $0.2 < z < 0.8$, square of the hadron transverse momentum with respect to the virtual photon direction in the range $0.02$ (GeV/$c$)$^2$ $< P_\{hT\}^\{2\}$ $<$ $3$ (GeV/$c$)$^\{2\}$. \
*dataset: \
*reackey: $mu^\{+\}$ d --> $mu'^\{+\}$ $h^\{+\}$ X \
*obskey: MULT \
*qual: PLAB IN GEV : 160.0 \
*qual: RE : $mu^\{+\}$ d --> $mu'^\{+\}$ h$^\{+\}$ X \


#  i      mult       stat (+/-)    syst (+/-)        Q2            x             z            Php
   1  3.761049e+00  1.874558e-01  3.953602e-01  2.000000e+01  1.570000e-01  2.438000e-01  2.998333e-01
   2  4.126097e+00  2.080469e-01  4.320208e-01  2.000000e+01  1.570000e-01  2.438000e-01  3.318132e-01
   3  3.641471e+00  1.953426e-01  3.895322e-01  2.000000e+01  1.570000e-01  2.438000e-01  3.602777e-01
   4  3.848008e+00  1.767497e-01  4.104469e-01  2.000000e+01  1.570000e-01  2.438000e-01  3.938274e-01
   5  3.571627e+00  1.945890e-01  3.932836e-01  2.000000e+01  1.570000e-01  2.438000e-01  4.276681e-01
   6  3.721322e+00  1.773157e-01  4.104752e-01  2.000000e+01  1.570000e-01  2.438000e-01  4.615192e-01
   7  3.199579e+00  1.546072e-01  3.590844e-01  2.000000e+01  1.570000e-01  2.438000e-01  4.996999e-01
   8  2.875191e+00  1.772480e-01  3.402139e-01  2.000000e+01  1.570000e-01  2.438000e-01  5.329165e-01
   9  2.606291e+00  1.352025e-01  3.068233e-01  2.000000e+01  1.570000e-01  2.438000e-01  5.690343e-01
  10  2.521717e+00  1.416173e-01  3.058591e-01  2.000000e+01  1.570000e-01  2.438000e-01  6.114736e-01
  11  2.006167e+00  1.188966e-01  2.518196e-01  2.000000e+01  1.570000e-01  2.438000e-01  6.554388e-01
  12  1.665809e+00  1.046888e-01  2.171944e-01  2.000000e+01  1.570000e-01  2.438000e-01  6.979255e-01
  13  1.295370e+00  8.950591e-02  1.734831e-01  2.000000e+01  1.570000e-01  2.438000e-01  7.471278e-01
  14  1.084167e+00  7.926695e-02  1.515021e-01  2.000000e+01  1.570000e-01  2.438000e-01  7.990620e-01
