#************************************************************************
# 
#    These are data from the COMPASS Collaboration.
#    
#    
#    
# 
#    
# 
#    C. Adolph et al, arXiv:1305.7317 [hep-ex]
# 
#************************************************************************
# 
# h- multiplicities from COMPASS
# 
# Target: Deuteron (Li6)
# 
#
#  i          mult              stat (+/-)              syst (+/-)              Q2      x         z           Php
   1  1.849005E+00  2.168986E-02  9.245023E-02  1.110000E+00  5.200000E-03  2.250000E-01  1.118034E-01
   2  2.759501E+00  3.485685E-02  1.379750E-01  1.110000E+00  5.200000E-03  2.250000E-01  1.936492E-01
   3  3.292000E+00  4.300000E-02  1.646000E-01  1.110000E+00  5.200000E-03  2.250000E-01  2.500000E-01
   4  3.463865E+00  4.732864E-02  1.731932E-01  1.110000E+00  5.200000E-03  2.250000E-01  2.958040E-01
   5  3.505037E+00  5.031153E-02  1.752518E-01  1.110000E+00  5.200000E-03  2.250000E-01  3.354102E-01
   6  3.323940E+00  5.117177E-02  1.661970E-01  1.110000E+00  5.200000E-03  2.250000E-01  3.708099E-01
   7  3.251509E+00  5.240468E-02  1.625754E-01  1.110000E+00  5.200000E-03  2.250000E-01  4.031129E-01
   8  3.096041E+00  5.282755E-02  1.548020E-01  1.110000E+00  5.200000E-03  2.250000E-01  4.330127E-01
   9  2.885717E+00  5.162945E-02  1.442859E-01  1.110000E+00  5.200000E-03  2.250000E-01  4.609772E-01
  10  2.717406E+00  5.165801E-02  1.358703E-01  1.110000E+00  5.200000E-03  2.250000E-01  4.873397E-01
  11  2.487960E+00  5.021006E-02  1.243980E-01  1.110000E+00  5.200000E-03  2.250000E-01  5.123475E-01
  12  2.398915E+00  5.040188E-02  1.199458E-01  1.110000E+00  5.200000E-03  2.250000E-01  5.361903E-01
  13  2.237186E+00  4.919350E-02  1.118593E-01  1.110000E+00  5.200000E-03  2.250000E-01  5.590170E-01
  14  2.082116E+00  4.879959E-02  1.041058E-01  1.110000E+00  5.200000E-03  2.250000E-01  5.809475E-01
  15  1.929063E+00  4.816638E-02  9.645317E-02  1.110000E+00  5.200000E-03  2.250000E-01  6.020797E-01
  16  1.841340E+00  4.730962E-02  9.206701E-02  1.110000E+00  5.200000E-03  2.250000E-01  6.224950E-01
  17  1.680156E+00  4.495831E-02  8.400782E-02  1.110000E+00  5.200000E-03  2.250000E-01  6.422616E-01
  18  1.563639E+00  4.497777E-02  7.818195E-02  1.110000E+00  5.200000E-03  2.250000E-01  6.614378E-01
