#************************************************************************
# 
#    These are data from the COMPASS Collaboration.
#    
#    
#    
# 
#    
# 
#    C. Adolph et al, arXiv:1305.7317 [hep-ex]
# 
#************************************************************************
# 
# h+ multiplicities from COMPASS
# 
# Target: Deuteron (Li6)
# 
#
#  i          mult              stat (+/-)              syst (+/-)              Q2      x         z           Php
   1  1.754195E+00  2.124265E-02  8.770977E-02  1.110000E+00  5.200000E-03  2.250000E-01  1.118034E-01
   2  2.783126E+00  3.485685E-02  1.391563E-01  1.110000E+00  5.200000E-03  2.250000E-01  1.936492E-01
   3  3.350500E+00  4.350000E-02  1.675250E-01  1.110000E+00  5.200000E-03  2.250000E-01  2.500000E-01
   4  3.625374E+00  4.910346E-02  1.812687E-01  1.110000E+00  5.200000E-03  2.250000E-01  2.958040E-01
   5  3.677437E+00  5.232399E-02  1.838719E-01  1.110000E+00  5.200000E-03  2.250000E-01  3.354102E-01
   6  3.490805E+00  5.265501E-02  1.745402E-01  1.110000E+00  5.200000E-03  2.250000E-01  3.708099E-01
   7  3.327294E+00  5.321090E-02  1.663647E-01  1.110000E+00  5.200000E-03  2.250000E-01  4.031129E-01
   8  3.171385E+00  5.369358E-02  1.585693E-01  1.110000E+00  5.200000E-03  2.250000E-01  4.330127E-01
   9  2.915220E+00  5.255140E-02  1.457610E-01  1.110000E+00  5.200000E-03  2.250000E-01  4.609772E-01
  10  2.708634E+00  5.165801E-02  1.354317E-01  1.110000E+00  5.200000E-03  2.250000E-01  4.873397E-01
  11  2.562762E+00  5.123475E-02  1.281381E-01  1.110000E+00  5.200000E-03  2.250000E-01  5.123475E-01
  12  2.409639E+00  5.040188E-02  1.204820E-01  1.110000E+00  5.200000E-03  2.250000E-01  5.361903E-01
  13  2.127619E+00  4.919350E-02  1.063809E-01  1.110000E+00  5.200000E-03  2.250000E-01  5.590170E-01
  14  2.123944E+00  4.996149E-02  1.061972E-01  1.110000E+00  5.200000E-03  2.250000E-01  5.809475E-01
  15  1.959167E+00  4.816638E-02  9.795837E-02  1.110000E+00  5.200000E-03  2.250000E-01  6.020797E-01
  16  1.786561E+00  4.730962E-02  8.932803E-02  1.110000E+00  5.200000E-03  2.250000E-01  6.224950E-01
  17  1.609508E+00  4.495831E-02  8.047538E-02  1.110000E+00  5.200000E-03  2.250000E-01  6.422616E-01
  18  1.571576E+00  4.497777E-02  7.857881E-02  1.110000E+00  5.200000E-03  2.250000E-01  6.614378E-01
